lat,lon,ym,BC_AOD,SU_AOD,DU_AOD,DU_AOD_pm25,T2m,T850,T500,T250,QV2M,Q850,Q500,Q250,elevation
29.0,79.375,1989-11-01,0.010599663,0.036179565,0.056133255,0.032740798,20.226920000000007,287.77362,260.2801,224.67863,0.0042374297,0.003143174,0.00052073144,5.580526e-05,215.8316
29.0,79.375,1989-12-01,0.013606946,0.057101987,0.021959389,0.013387441,16.241240000000005,283.72095,258.05835,224.95467,0.0036483563,0.003052725,0.0005633632,4.7891208e-05,215.8316
29.0,79.375,1990-01-01,0.009102334,0.017660031,0.043575805,0.026753392,17.341760000000022,287.057,260.079,228.92598,0.003674643,0.0027610972,0.0007370801,5.4869914e-05,215.8316
29.0,79.375,1990-02-01,0.012643112,0.075874284,0.07387077,0.04387644,17.614370000000008,283.8393,256.81552,224.78694,0.005527487,0.004721696,0.00082966016,4.2585743e-05,215.8316
29.0,79.375,1990-03-01,0.013727794,0.061006963,0.10355618,0.059834514,21.274040000000014,287.44598,258.01306,228.7988,0.005818363,0.0042557023,0.00053975487,4.2127664e-05,215.8316
29.0,79.375,1990-04-01,0.00867959,0.035718486,0.16808382,0.096537925,28.37536,294.68185,262.04745,227.18907,0.005294126,0.0039003561,0.00070989644,8.005333e-05,215.8316
29.0,79.375,1990-05-01,0.015169201,0.08928985,0.23349217,0.13152228,33.91375000000005,298.38315,266.28876,234.88333,0.008673235,0.0072755134,0.001295204,6.804557e-05,215.8316
29.0,79.375,1990-06-01,0.013278678,0.079800636,0.27250028,0.15098949,35.75704000000002,299.79843,269.986,238.4727,0.011526765,0.009919346,0.0031689373,0.00017526693,215.8316
29.0,79.375,1990-07-01,0.015080086,0.12069814,0.17412856,0.09638478,29.87316000000004,294.8483,272.1185,239.77138,0.019311957,0.015839212,0.005495376,0.00052429165,215.8316
29.0,79.375,1990-08-01,0.013079464,0.09741723,0.03711215,0.02123691,27.63467000000003,293.81415,271.6572,238.4446,0.020238291,0.015251424,0.004929032,0.00046516772,215.8316
29.0,79.375,1990-09-01,0.014307388,0.10271741,0.02996256,0.017167969,26.711420000000032,292.80606,269.80426,236.53955,0.019012004,0.014494776,0.0037290216,0.00023815392,215.8316
29.0,79.375,1990-10-01,0.011166319,0.050328992,0.05458502,0.032422204,23.252650000000017,290.406,264.48163,231.67523,0.010802523,0.0073583294,0.00030507287,4.2403783e-05,215.8316
29.0,79.375,1990-11-01,0.011656428,0.032932352,0.02772967,0.016812488,20.23028000000005,288.54108,262.14035,228.9854,0.0060135275,0.0039693248,0.0004193424,7.360861e-05,215.8316
29.0,79.375,1990-12-01,0.014384917,0.05932762,0.034444023,0.021459084,16.102000000000032,284.76883,258.21182,224.37991,0.004693671,0.0034919714,0.00055620755,5.3691103e-05,215.8316
29.0,79.375,1991-01-01,0.009863477,0.027368126,0.04279244,0.026056146,14.511220000000035,283.01627,256.061,225.51993,0.0037454108,0.0027317305,0.0005005551,4.1672858e-05,215.8316
29.0,79.375,1991-02-01,0.011768784,0.071857326,0.062466383,0.037239682,18.71502000000004,285.86865,256.456,223.80365,0.0046041687,0.003517757,0.00072557584,6.01966e-05,215.8316
29.0,79.375,1991-03-01,0.012357246,0.04142015,0.12113722,0.07099273,23.917400000000043,290.4748,260.11237,223.91635,0.004591735,0.0034687112,0.0007374027,7.4702e-05,215.8316
29.0,79.375,1991-04-01,0.010955614,0.041407116,0.16483507,0.094571024,29.26016000000004,294.54877,261.6035,226.54019,0.0039240303,0.0035616737,0.000697888,6.9449896e-05,215.8316
29.0,79.375,1991-05-01,0.008531367,0.037989482,0.28515133,0.16246986,34.90026,299.7557,265.58307,229.90533,0.0052612326,0.004697798,0.0009460371,8.164912e-05,215.8316
29.0,79.375,1991-06-01,0.013026933,0.09039577,0.18227287,0.10233364,34.212180000000046,298.6017,270.08478,238.66882,0.011604402,0.0094684465,0.0016103201,0.00013579694,215.8316
29.0,79.375,1991-07-01,0.0140380375,0.30204025,0.19116084,0.10670955,34.081020000000024,297.7508,272.68527,239.783,0.015565007,0.013510702,0.003731349,0.0004123613,215.8316
29.0,79.375,1991-08-01,0.013076135,0.35500386,0.060498077,0.03420833,29.36318,294.69638,272.0901,239.28575,0.01901152,0.014946251,0.005237373,0.00045998106,215.8316
